,title,artist,producer,streams,album_sales,bpm,gender,time_signature,fanbase,song_length,instrument_number,key,release_year,use_in_media,pop,rock,rap,country,hip_hop,alt.,reggae,r&b,sad,happy,angry,desperatation,hopeful,fearful,ashamed,romantic,grammy,vma,billboard_music_award,ama,mtv
SONG1,One Sweet Day,Mariah Carey and Boyz II Men,Mariah Carey and Walter Afanasieff,"203,545,036",4,128,9,7,13759413,281,5,D♭,1995,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,2,0,1
SONG2,Don't Forget About us ,Mariah Carey ,Jermaine Dupri Mariah Carey Bryan-Michael Cox,"52,881,523",1,144,1,7,13759413,233,5,B♭,2005,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,1,0,0,0,0
SONG3,I swear ,All-4-one,David Foster,"237,542,331",1,83,2,7,1152657,259,5,G♭,1994,10,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,2,0,0,0,0
SONG4,Lose Yourself,Eminem,EminemJeff Bass,"2,312,638,621",13,171,2,7,47937078,326,5,D,2005,3,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,2,0,0,0,2
SONG5,Tik Tok,Kesha,Dr. Luke and Benny Blanco,"1,305,678,221",12,120,1,7,13126166,199,5,D,2010,6,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
SONG6,So What ,Pink,Max Martin,"668,283,664",4.5,126,1,7,17404655,215,5,B,2008,4,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,2
SONG7,Blaze of Glory ,Jon Bon Jovi,Jon Bon Jovi Danny Kortchmar,"169,722,609",1,79,2,7,3412302,340,6,G,1994,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,2,1
SONG8,Promiscuous,Nelly Furtado ft. Timbaland,Timbal and Danja,"1,289,463,683",7,114,9,7,9510933,242,5,B♭,2006,3,1,0,0,0,1,0,0,0,0,1,0,1,1,0,0,1,1,0,2,0,0
SONG9,I like the way (the kissing game) ,Hi-Five,Teddy Riley,"33,414,611",0.5,104,2,7,347918,348,5,D♭,1990,2,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0
SONG10,Have you ever really loved a women,Bryan Adams ,"Robert John ""Mutt"" LangeBryan Adams","211,965,314",0.6,146,2,4,10431892,291,6,G,1996,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
SONG11,Because I love you,Stevie B,Stevie Hill,"14,145,006",0.5,63,2,7,521718,246,5,D♭,1990,1,1,0,0,0,0,0,0,0,1,1,0,1,1,0,0,1,0,0,0,0,0
SONG12,Right Round ,Flo Rida,"Dr. Luke, Kool Kojak","671,894,423",8,125,2,7,12825514,204,5,G,2009,8,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
